id,canonical,classification,provenance_status
CIE 100,I3HAAINAOAR3H2391,unknown,rejected
CIE 117,IAMVSV8:A9OIE,unknown,rejected
CIE 120,au·q·nu······ril·XXI,unknown,rejected
CIE 123,A):MV[V]I[I]A[I]O,unknown,rejected
CIE 124,····I·IJA9I··VIJ,unknown,rejected
CIE 125,IAHVJ8·J·J9V,unknown,rejected
CIE 127,IXXJ8J9J8J9,unknown,rejected
CIE 129,[JAIJAS·J·IHVAI·J],unknown,rejected
CIE 135,....rgi.s....vixi[t anno]s.XI,unknown,rejected
CIE 136,v[el]ane.ce[i]gnal.r[i].XXXX,unknown,rejected
CIE 140,X,unknown,rejected
CIE 141,XIIX....,unknown,rejected
CIE 142,a) mi[.]capi[.]l.versni.l b) mi.capi[.]l[.]versni.se.l.versni.lupuqe,unknown,rejected
CIE 143,ΘIO·Ξ·V·IΛIΛ·ΛV·ΞΛ·VA·Ξ·Θ·OI,unknown,rejected
CIE 144,ΘAΘAΛΛKI ΛAΘVHIΛAI ΘANIA HIIΘAΛVII a. ΘaΘaalki | laΘvhiikai b. Θania iiuiaΘi lin,unknown,rejected
CIE 145,[laR]Θ RIXIX [aw]Θil,unknown,rejected
CIE 147,TΛT·MIΘH A·MIIΘLA ΘITΘTA intis·pap axelis·a t s v atetzc·,unknown,rejected
CIE 149,ΘAVLINNA·SEX·F Q·Aulinna·Sex·f | Sab,unknown,rejected
CIE 152,C·CAECINA C·L·BARO V·A·XXXIIX C·Caecina | C·l·Baro | v·a·XXXIIX,unknown,rejected
CIE 153,XXX VΘΛΘ XXX ····caspu XXX,unknown,rejected
CIE 154,ABONI•VIX•ANNOS•XX,unknown,rejected
CIE 155,VXXXX•VIX•VITA8•ANDI8•A,unknown,rejected
CIE 156,AXX•9•VAB888•8•A•99•13HCI3•O,unknown,rejected
CIE 157,AXX•J9••••I3HCI3•J,unknown,rejected
CIE 158,IIXT•M•I9A•MI9O3•2•V•I3A9•AHAO,unknown,rejected
CIE 159,IIXXXX•J9•J•I3HTVAJ•I9AJ,unknown,rejected
CIE 160,JAHATA•A8AHI3A9•AHAO,unknown,rejected
CIE 161,OH9A9•J•I3HOH•J9I•A•HA8,unknown,rejected
CIE 167,tivs:vixit:annos:lx,unknown,rejected
CIE 168,mvvlv:tmmx:faixumamai:ni. tmaθaw. vθθw:a:m:e:l:l:a:m:m:a:m:a:θ. atv:a:w:a:m:m:e:l:l:a:m:m:a:m:i:h:a. aθiθlui. livv:t:m:m:a:n:a:l:a:m:m:i:h:a. livv:i,unknown,rejected
CIE 170,s:u:c:a:n:y:s:x:i,unknown,rejected
CIE 171,u:x:a:l:a:l:a:m:i:n:v:a:p:x:j:a:v,unknown,rejected
CIE 173,AHVMVHVH:OAV,unknown,rejected
CIE 174,IVO | IMVHVV:IOAA | IVO | IMVHVV:IOAA | IVO | IMVHVV:IOAA,unknown,rejected
CIE 1745,SAIT:2AOMA9:IHVA:OJ,unknown,rejected
CIE 1747,IHVM9A AAIJAS,unknown,rejected
CIE 1749,2V2I9:2IHM9A:AIAO,unknown,rejected
CIE 175,AHVMVHVH:OAV,unknown,rejected
CIE 1751,JAO9AS:INTNA:O9,unknown,rejected
CIE 1753,MAJ:A2I:2I8OA:I:IMAAJ9,unknown,rejected
CIE 176a,39V018X1X7XMV--- 3913V91XWIMAI--- 191391X1 W-A),unknown,rejected
CIE 176b,ABCDECIEOIKLMNBO----MVMIMEMUNVa b c d e v i h θ i,unknown,rejected
CIE 176c,}VAJXIVMMAXAIMmi la lauχa.....mi a kaθ,unknown,rejected
CIE 177,MATƎMALAMAI°VƎDAM,unknown,rejected
CIE 1771,inivqaaθa | iaioqaa | [v]el arntni | vel θial,unknown,rejected
CIE 1772,a) LARTH HASTIA SCANIA HASTIA SCANIA b) LARTH· ANTIA·SCAN· ·ASTLAC···,unknown,rejected
CIE 1776,Arria·O·L· | Philematio,unknown,rejected
CIE 1778,AHITQA.A VAHIYAV,unknown,rejected
CIE 1779,MANTIQ A.IHIQVA.AIHAO,unknown,rejected
CIE 178,AƦNΘAOMΘA·ƦIƎƦI·VNAΘ MAIAS,unknown,rejected
CIE 1780,IMIA+A.OV IAZI9AV IANHV+239,unknown,rejected
CIE 1782,UMJAIHIATA A2,unknown,rejected
CIE 1784,a. VJV8.I+A:J3I b. VJ3I:2ITHI:3AD:J3I,unknown,rejected
CIE 1790,QORP:VSAMNA,unknown,rejected
CIE 1791,AVIVVAQAGAJ IVOVMA,unknown,rejected
CIE 1795,AIVVA:AINAAO MYAQ MVAQ MIHVAQ IN+VA,unknown,rejected
CIE 180,OMAΘA:ƎNƎΘ:VΘAƦ AƦNAIAD:NA,unknown,rejected
CIE 181,MOAƦAƦIƎƦO ΘAIVΘAƦI AƦNAIƎ,unknown,rejected
CIE 1822,P.HIIIPPIO.CAELI Philippio.Caeli,unknown,rejected
CIE 1824,:AVLD:ALVD:AVVA,unknown,rejected
CIE 1825,ARNΘADIOA,unknown,rejected
CIE 1827,MΘAΘ:LAHOΘA:LAΘ:OJ,unknown,rejected
CIE 1828,[MAIΘAM:AVD:AVVA],unknown,rejected
CIE 1830,ΘINIΘIM:ΘINAO,unknown,rejected
CIE 1831,IAVLAΘAD:A,unknown,rejected
CIE 1834,MAIHѴQTA ⱯAJOA,unknown,rejected
CIE 1841,ⱯIѴ:CAI:TITUѴN:ƧⱯAPONⱯA,unknown,rejected
CIE 1843,MIHƧA IƧHIAƆ IOƧ AƧ,unknown,rejected
CIE 1844,laXcae|ful,unknown,rejected
CIE 1851,lar𐌗a:cae:velxies,unknown,rejected
CIE 1857,L Gavi L f,unknown,rejected
CIE 1858,L.Gavi.L.f Clementis,unknown,rejected
CIE 1859,Thannia | Gavia | C.f,unknown,rejected
CIE 1860,Gavia.Primigene C.f Gavi.l.,unknown,rejected
CIE 1861,Gavia.P.L. | Tarntia,unknown,rejected
CIE 1863,hasti vel xaine,unknown,rejected
