bilingual,match,corpus_id,score,fixes
ET Ar 1.8; TLE 661; Benelli 4.2,none,,0.0,clan = filius; Vel replaced by Caius; Cazi = Cassius
ET Ar 1.9; Benelli 4.4,none,,0.0,Fulni = Folnius; matronymic ciarθial + śa
ET Cl 1.2430; Benelli 4.6,none,,0.0,Titi = Titius; aule = Aulus (exact praenomen match)
ET Pe 1.313; CIE 3763; CIL XI 1963; Benelli 4.7,none,,0.0,Velimna = Volumnius; matronymic calque cahatial = Cafatia natus; puplie itself borrowed from Latin Publius
ET Pe 1.72; Benelli 4.8,none,,0.0,aule = Aulus; Rafi ~ Latin gentilicium; matronymic dropped
ET Cl 1.858; CIE 1468; Benelli 4.11,none,,0.0,Arntni = Arrius; matronymic untranslated
ET Cl 1.356; CIE 1437; Benelli 4.12,none,,0.0,Venzile = Vensius; alfnal śa = (son) of Alfnia
ET Cl 1.1221; CIE 1729; Benelli 4.14,none,,0.0,Anne = Annius; matronymic calque cupsnal = Coelia gnatus
ET Cl 1.1449; TLE 521; Benelli 4.15,none,,0.0,Canzna = Caesius; varnal(-isla) = Varia natus: the classic -al genitive proof
ET Cl 1.957; CIE 1048; Benelli 4.16,none,,0.0,Śinu = Sentius; arntnal = Arria natus; praenomen cuinte is borrowed Latin Quintus
ET Cl 1.1181; CIE 1671; Benelli 4.17,none,,0.0,Alfni = Alfius; cainal = Cainnia natus
ET Cl 1.859; CIE 1469; Benelli 4.19,none,,0.0,straight transliteration of the gentilicium; matronymic calque
ET Cl 1.2632; Benelli 4.20,none,,0.0,near-arbitrary transposition Unata = Otacilius; rauf- = Rufus
ET Cl 1.1601; Benelli 4.21,none,,0.0,Elcsna rendered as Vedius; matronymic genitive in -ś
ET Cl 1.220; Benelli 4.22,none,,0.0,Fapi = Fabius; larθial (son of Larthia) dropped in Latin
ET Cl 1.2552; TLE 541; Benelli 4.23,none,,0.0,"Trepi = Trebius. Older view read θanasa = histrio (lexical equation); current reading θan(a)śa = (son) of Thana, making HISTRO a Latin-only cognomen - equation contested"
ET Cl 1.966; TLE 925; Benelli 4.24,none,,0.0,"female epitaph: Etruscan gives mother (Vilina), Latin gives father (Sextus)"
TLE 514,none,,0.0,"digraphic (same text, two alphabets): abbreviation l. = Lart(h)"
TLE 608,none,,0.0,pseudo-bilingual family pair: gens Tinś rendered as Iuventius
ET Af 8.1; ET Af 8.2; ET Af 8.3; ET Af 8.4; ET Af 8.5; ET Af 8.6; ET Af 8.7; ET Af 8.8,none,,0.0,"not bilingual stricto sensu; latest datable Etruscan, code-switched Latin genitive plural dardanium; haruspical limitatio context"
ET Vs 6.21; Benelli 4.26,text,10733,1.0,potter's marks; one of only two non-epitaphs in the corpus
ET Vs 6.21; Benelli 4.26,text,10900,1.0,potter's marks; one of only two non-epitaphs in the corpus
TLE 540,text,CIE 2647,1.0,fully Latin formula (f = filius) re-lettered in Etruscan script
ET Pe 1.211; TLE 606; Benelli 4.10,text,Pe 1.211,0.667,lautni = libertus (key lexical fix)
ET Cl 1.219; Benelli 4.25,text,Pe 1.219,0.6,second lautni = libertus fix (L. L. = Lucii libertus); Greek slave-name Eucles; Fisi = Phisius
ET Um 1.7; TLE 697; Benelli 4.1,text,Um 1.7,0.5,netśvis = haruspex; trutnvt + frontac = fulguriator; Etruscan lr. rendered by Latin L.
ET Ar 1.3; Benelli 4.3,text,Ar 1.3,0.5,Haprni = Laberius (free transposition); -isa genitive without Latin counterpart
ET AS 1.325; Benelli 4.5,text,CIE 276,0.5,Lecne = Licinius (known since Lanzi 1789); Vel = C.; matronymic untranslated
ET AS 1.325; Benelli 4.5,text,CIE 273,0.5,Lecne = Licinius (known since Lanzi 1789); Vel = C.; matronymic untranslated
ET Pe 1.846; Benelli 4.9,text,16860,0.5,Meśi = Mesia; matronymic calque with GNATA; Etruscan omits female praenomen
ET Pe 1.846; Benelli 4.9,text,2459,0.5,Meśi = Mesia; matronymic calque with GNATA; Etruscan omits female praenomen
ET Pe 1.846; Benelli 4.9,text,14383,0.5,Meśi = Mesia; matronymic calque with GNATA; Etruscan omits female praenomen
ET Pe 1.846; Benelli 4.9,text,CIE 2820,0.5,Meśi = Mesia; matronymic calque with GNATA; Etruscan omits female praenomen
ET Cl 1.320; TLE 472; Benelli 4.13,text,CIE 2483,0.5,the one translated gentilicium: zicu (scribe) = Scribonius
ET Cl 1.354; TLE 462; CIL I2 2767; Benelli 4.18,text,CIE 1849,0.5,Trepu = Trebonius; cae = borrowed Latin Caius
ET Cl 1.354; TLE 462; CIL I2 2767; Benelli 4.18,text,CIE 1850,0.5,Trepu = Trebonius; cae = borrowed Latin Caius
ET Ta 0.22; Benelli 4.27,text,CIE 2505,0.5,the only southern-Etruria item; personal name in both scripts
TLE 540,text,CIE 1857,0.5,fully Latin formula (f = filius) re-lettered in Etruscan script
TLE 540,text,CIE 2793,0.5,fully Latin formula (f = filius) re-lettered in Etruscan script
