id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality
CIE 2609,𐌅𐌄:𐌐𐌖𐌊𐌄:𐌅,ve:puce:f,𐌅𐌄:𐌐𐌖𐌂𐌄:𐌚,ve puce f,,,,1.000,clean
CIE 2615,𐌈𐌀𐌍𐌉𐌀:𐌐𐌖𐌋𐌅𐌍𐌄𐌉:𐌕𐌖𐌕𐌍𐌀𐌔𐌀,θania:pulfnei:tutnasa,𐌈𐌀𐌍𐌉𐌀:𐌐𐌖𐌋𐌚𐌍𐌄𐌉:𐌕𐌖𐌕𐌍𐌀𐌔𐌀,θania pulfnei tutnasa,,,,1.000,clean
TCa 8,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,𐌉𐌑'𐌅𐌄.𐌉.𐌕𐌖𐌋𐌄 𐌉𐌋𐌖.𐌂.𐌅𐌄 .𐌀.𐌐𐌉𐌓𐌀𐌔𐌄 𐌋𐌄𐌈𐌀.𐌌.𐌔𐌖.𐌋. 𐌉𐌋𐌖𐌂𐌖 𐌂𐌖𐌉𐌄.𐌔.𐌙𐌖 𐌐𐌄.𐌓.𐌐𐌓𐌉,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,"On the Ides, on the ilucu, in April, for (the divinity) Lethams ilucu cuieskhu must be celebrated (?).",,,1.000,clean
Vs 1.178,vel leinies : larθial : ruva : arnθialum | clan : velusum : prumaθσ : avils : semφσ | lupuce,vel leinies larθial ruva arnθialum clan velusum prumaθσ avils semφσ lupuce,𐌅𐌄𐌋 𐌋𐌄𐌉𐌍𐌉𐌄𐌔 𐌋𐌀𐌓𐌈𐌉𐌀𐌋 𐌓𐌖𐌅𐌀 𐌀𐌓𐌍𐌈𐌉𐌀𐌋𐌖𐌌 𐌂𐌋𐌀𐌍 𐌅𐌄𐌋𐌖𐌔𐌖𐌌 𐌐𐌓𐌖𐌌𐌀𐌈𐌑 𐌀𐌅𐌉𐌋𐌔 𐌔𐌄𐌌𐌘𐌑 𐌋𐌖𐌐𐌖𐌂𐌄,vel leinies larθial ruva arnθialum clan velusum prumaθσ avils semφσ lupuce,"Vel Leinies, brother of Larth (and) son o f Arnth (and) great-grandson (?) of Vel, died at seven years of age.",,,1.000,clean
CIE 2616,IAN8VJV1 ANV+: VEA,IAN8VJV1 ANV+: VEA,,,,,,0.000,ocr_failed
CIE 2617,A18VA9:1M 8V1:OJ,A18VA9:1M 8V1:OJ,,,,,,0.000,ocr_failed
Ta 1.35,σ'eθre curunas • | velus [ • ] [r]amθa[s] [ • ] avenalc | sam man • σuθ[i]θ • arce | ...,σ'eθre curunas • velus [ • ] [r]amθa[s] [ • ] avenalc sam man • σuθ[i]θ • arce ...,𐌑'𐌄𐌈𐌓𐌄 𐌂𐌖𐌓𐌖𐌍𐌀𐌔 • 𐌅𐌄𐌋𐌖𐌔 [ • ] [𐌓]𐌀𐌌𐌈𐌀[𐌔] [ • ] 𐌀𐌅𐌄𐌍𐌀𐌋𐌂 𐌔𐌀𐌌 𐌌𐌀𐌍 • 𐌑𐌖𐌈[𐌉]𐌈 • 𐌀𐌓𐌂𐌄 ...,σ'eθre curunas velus avenalc sam man arce ...,Shethre Curunas (was) (son) of Vel and Ramtha Avenei; and this (man) constructed the monument (?) in the tomb ...,,,0.571,clean
Ve 6.2,mi<ni> mamarce zinace,mi<ni> mamarce zinace,𐌌𐌉<𐌍𐌉> 𐌌𐌀𐌌𐌀𐌓𐌂𐌄 𐌆𐌉𐌍𐌀𐌂𐌄,mamarce zinace,Mamarce made me.,650.0,625.0,0.667,clean
Vs 2.40,turis : mi : une : ame,turis mi une ame,𐌕𐌖𐌓𐌉𐌔 𐌌𐌉 𐌖𐌍𐌄 𐌀𐌌𐌄,turis mi une ame,"Doris, I am for you (?).",,,1.000,clean
CIE 2608,𐌋𐌀𐌓𐌈:𐌐𐌓𐌖𐌍𐌉𐌍𐌉:𐌊𐌖𐌕𐌍𐌀𐌋,larθ:prunini:cutnal,𐌋𐌀𐌓𐌈:𐌐𐌓𐌖𐌍𐌉𐌍𐌉:𐌂𐌖𐌕𐌍𐌀𐌋,larθ prunini cutnal,,,,1.000,clean
CIE 2618,A21HJA1A9:1M8JV1,A21HJA1A9:1M8JV1,,,,,,0.000,ocr_failed
ETP 61,hursu[mnas---],hursu[mnas---],𐌇𐌖𐌓𐌔𐌖[𐌌𐌍𐌀𐌔---],,,500.0,400.0,0.000,clean
Pe 5.2,eθ : fanu : lautn : precuσ : ipa : murzua : cerurum : ein :  | heczri,eθ fanu lautn precuσ ipa murzua cerurum ein heczri,𐌄𐌈 𐌚𐌀𐌍𐌖 𐌋𐌀𐌖𐌕𐌍 𐌐𐌓𐌄𐌂𐌖𐌑 𐌉𐌐𐌀 𐌌𐌖𐌓𐌆𐌖𐌀 𐌂𐌄𐌓𐌖𐌓𐌖𐌌 𐌄𐌉𐌍 𐌇𐌄𐌂𐌆𐌓𐌉,eθ fanu lautn precuσ ipa murzua cerurum ein heczri,"This tomb ... must be careshri-ed by members of the Precu family, Aule (and) Larth, the sons of Larth and Cestnei.",,,1.000,clean
CIE 261,ƎNƎM·AΘNA):IИO·ƆM,eNeM·AΘNA):InO·cM,,eNeM InO cM,,,,0.750,clean
Cl 1.147,lθ : peθna : aθ : titial : ścire,lθ peθna aθ titial ścire,𐌋𐌈 𐌐𐌄𐌈𐌍𐌀 𐌀𐌈 𐌕𐌉𐌕𐌉𐌀𐌋 𐌑𐌂𐌉𐌓𐌄,lθ peθna aθ titial ścire,"Larth Pethna Shcire, (son) of Arnth and Titi",,,1.000,clean
Cr 1.6,li • tarχnas • crucrials,li • tarχnas • crucrials,𐌋𐌉 • 𐌕𐌀𐌓𐌙𐌍𐌀𐌔 • 𐌂𐌓𐌖𐌂𐌓𐌉𐌀𐌋𐌔,li tarχnas crucrials,"Laris Tarkhnas, (born) from Crucri",,,1.000,clean
Cr 1.60,marce • maclae,marce • maclae,𐌌𐌀𐌓𐌂𐌄 • 𐌌𐌀𐌂𐌋𐌀𐌄,marce maclae,Marce Maclae,,,1.000,clean
Cr 3.18,mi liceneši mulu hirsunaieši,mi liceneši mulu hirsunaieši,𐌌𐌉 𐌋𐌉𐌂𐌄𐌍𐌄𐌔𐌉 𐌌𐌖𐌋𐌖 𐌇𐌉𐌓𐌔𐌖𐌍𐌀𐌉𐌄𐌔𐌉,mi liceneši mulu hirsunaieši,I (am) given by Licene Hirsunaie.,,,1.000,clean
14878,------thpi------,------θpi------,------𐌈𐌐𐌉------,,,,,0.000,clean
Pe 8.4,iχ • ca | ceχa • ziχuχe,iχ • ca ceχa • ziχuχe,𐌉𐌙 • 𐌂𐌀 𐌂𐌄𐌙𐌀 • 𐌆𐌉𐌙𐌖𐌙𐌄,iχ ca ceχa ziχuχe,as (?) this (contract) was written above,,,1.000,clean
CIE 2221,vipine:hu···as,vipine:hu···as,𐌅𐌉𐌐𐌉𐌍𐌄:𐌇𐌖···𐌀𐌔,vipine hu as,,,,1.000,clean
ETP 313,arnθ • vipina • cuφre,arnθ • vipina • cuφre,𐌀𐌓𐌍𐌈 • 𐌅𐌉𐌐𐌉𐌍𐌀 • 𐌂𐌖𐌘𐌓𐌄,arnθ vipina cuφre,,100.0,0.0,1.000,clean
ETP 314,tania,tania,𐌕𐌀𐌍𐌉𐌀,tania,,,,1.000,clean
Fa 3.1,mi aliqu : auvilesi,mi aliqu auvilesi,𐌌𐌉 𐌀𐌋𐌉𐌒𐌖 𐌀𐌖𐌅𐌉𐌋𐌄𐌔𐌉,mi aliqu auvilesi,I (am) presented by Avile.,,,1.000,clean
Ta 1.96,lartiu cuclnies • larθal • clan | larθialc einanal | camθi eterau,lartiu cuclnies • larθal • clan larθialc einanal camθi eterau,𐌋𐌀𐌓𐌕𐌉𐌖 𐌂𐌖𐌂𐌋𐌍𐌉𐌄𐌔 • 𐌋𐌀𐌓𐌈𐌀𐌋 • 𐌂𐌋𐌀𐌍 𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌂 𐌄𐌉𐌍𐌀𐌍𐌀𐌋 𐌂𐌀𐌌𐌈𐌉 𐌄𐌕𐌄𐌓𐌀𐌖,lartiu cuclnies larθal clan larθialc einanal camθi eterau,"Lartiu Cuclnies, son of Larth and Larthi Einanei, camthi eterau.",,,1.000,clean
CIE 2610,𐌐𐌖𐌊𐌍𐌀:𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌉𐌔𐌀,vel:pucna:larθialisa,𐌅𐌄𐌋:𐌐𐌖𐌂𐌍𐌀:𐌋𐌀𐌓𐌈𐌉𐌀𐌋𐌉𐌔𐌀,vel pucna larθialisa,,,,1.000,clean
Cl 1.1006,vel • fastntru • aθ,vel • fastntru • aθ,𐌅𐌄𐌋 • 𐌚𐌀𐌔𐌕𐌍𐌕𐌓𐌖 • 𐌀𐌈,vel fastntru aθ,"Vel Fastntru, (son) o f Arnth",,,1.000,clean
