id,raw_text,canonical_transliterated,translation,silver_label,silver_confidence,claude-opus-4-8_label,claude-opus-4-8_confidence,claude-opus-4-8_rationale,gemini-31-pro_label,gemini-31-pro_confidence,gemini-31-pro_rationale,gemini-35-flash_label,gemini-35-flash_confidence,gemini-35-flash_rationale,adjudicator_decision,adjudicator_notes
16222,spural,spural,of-marzabotto,boundary,high,boundary,low,"The text 'spural' is the boundary-vocabulary term meaning 'public/of-the-community', appearing in the classic boundary formula 'tular spural' (rule 6). However, the word 'tular' itself is absent and only 'spural' survives, so the boundary reading rests on a single fragmentary token.",unsure,high,"The inscription consists of the single isolated word 'spural' ('public' or 'of the city'). Because the object type and find-context are unknown ('Source tag: other') and it lacks a discriminating formula like 'tular' or 'mi', it permits multiple readings, such as a fragmented boundary marker or a public ownership mark. Per the edge cases in the codebook, it must be routed to adjudication.",unsure,medium,"The inscription consists of a single word 'spural' (genitive of 'spura', meaning 'public' or 'of the city/community'). Without diagnostic vocabulary like 'tular' (boundary) or object/context metadata, it is impossible to distinguish between a public boundary marker, a public ownership mark on a tile/vessel, or an administrative label.",,
ETP 346,mi xuiḥṿlies qutum,mi xuiḥṿlies qutum,,commercial,medium,ownership,medium,"The text follows the 'mi' + genitive personal name formula (mi xuiḥṿlies) with no verb of giving or dedicatory formula, triggering branch 5 of the decision tree. The term 'qutum' appears to name the object (a qutum/vessel, likely a loan from Greek kothon), consistent with a possessive identifier on a portable vase.",ownership,high,"The inscription follows the classic 'talking object' formula, featuring the pronoun 'mi' (I am) followed by a personal name in the genitive ('xuiḥṿlies') and the object noun ('qutum', a jug or vessel). This directly matches branch 5 of the decision tree for possessive identifiers on portable objects.",ownership,high,"The inscription features the classic 'speaking' possessive formula 'mi' ('I am') followed by the genitive of a personal name ('xuiḥṿlies') and the noun 'qutum' (identifying the vessel as a kothon/drinking jar). This aligns with Step 5 of the decision tree, representing a possessive identifier on a portable object.",,
TCa 8,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,iσ've.i.tule ilu.c.ve .a.pirase leθa.m.su.l. ilucu cuie.s.χu pe.r.pri,"On the Ides, on the ilucu, in April, for (the divinity) Lethams ilucu cuieskhu must be celebrated (?).",dedicatory,high,unsure,medium,"This is a ritual-calendrical text prescribing when a ceremony must be celebrated (ilucu, dates like the Ides and April, divinity Lethams), not any of the seven closed classes. It lacks a giving verb with a clear votive/dedicatory recipient object, a kinship/death formula, an ownership 'mi'+genitive, boundary 'tular' vocabulary, contractual sale/manumission structure, or quantity/trade marks. Following the decision tree to step 8 with no match, it routes to the adjudication queue.",legal,high,"The inscription prescribes a ritual to be performed for a divinity (Lethams) on specific calendar dates (in April, on the Ides). This language is characteristic of a ritual calendar or sacred law. According to branch 7 of the decision tree, texts containing sacred law vocabulary belong to the 'legal' class.",legal,medium,"The inscription is a passage from the Tabula Capuana (Capua Tile), which is a famous Etruscan ritual calendar and sacred law (lex sacra). It contains prescriptions for rites to be performed on specific dates for the deity Lethams, matching the 'sacred-law' definition under the 'legal' class (Step 7).",,
5473,ramtha apatrui larthal alethnal camnas,ramθa apatrui larθal aleθnal camnas,mr-ramthamrs-apatruimrs-larthisdaughterand-mrslarthialethnismr-camnas,funerary,medium,funerary,medium,"The text is a string of personal names with a female praenomen (ramθa) and multiple genitive patronymic/matronymic forms (larθal aleθnal) plus a gentilicial (camnas), consistent with the kinship-list formula typical of tomb/urn inscriptions per decision-tree rule 1. Although no explicit death word (avils, lupu, śuθi) is present, the dense parentage/marriage naming pattern is diagnostic of a funerary onomastic label.",funerary,medium,"Although the findspot and object type are unknown ('other'), the text consists entirely of a female personal name in the nominative ('ramtha apatrui') accompanied by a kinship formula in the genitive ('larthal alethnal'). This specific grammatical structure does not permit multiple readings and is the standard formula for an epitaph, fulfilling the textual requirements of rule 1 for a funerary inscription.",funerary,high,"The inscription contains a classic female onomastic formula with multiple kinship genitives: patronymic (larθal), metronymic (aleθnal), and gamonymic (camnas, indicating her husband's family). This extensive kinship structure triggers step 1 of the decision tree for funerary inscriptions.",,
5874,arnth churcles larth(i)al ramthas(a) ne(ts)v(is)tnial zilc,arnθ χurcles larθ(i)al ramθas(a) ne(ts)v(is)tnial zilc,mr-arnthmr-churclessonmrs-larthissonmr-ramthasdaughters-husbandof-thecollege-of-the-inspectors-ofentrailsthe-chiefthe-chiefof-the-godbacchushe-was,legal,high,funerary,medium,"The text is a personal name (Arnth Churcles) with an extensive kinship/filiation formula ('son of Larth', 'son of Ramtha', 'daughter's husband') plus a magistracy title (zilc, 'the chief'), which is the classic elogium/cursus-honorum structure found on Etruscan tomb walls and sarcophagi. Under decision-tree rule 1, a sepulchral naming with kinship formula yields funerary; no gift verb (tur-/mulu-) or 'mi'+genitive possessive is present to trigger dedicatory or ownership.",funerary,high,"Following Rule 1 of the decision tree, the text consists of a personal name (Arnth Churcles) combined with a detailed kinship formula (filiation indicated by 'larthial' and 'ramthasa') and a magistracy title ('zilc' / netsvis). This specific biographical structure (cursus honorum) is the standard formula for funerary epitaphs on sarcophagi and urns.",funerary,high,"The inscription contains a clear personal name ('arnθ χurcles') accompanied by multiple kinship formulas, including a metronymic ('larθial', son of Larthia) and a conjugal reference ('ramθas(a)', husband of Ramtha), alongside magistracy/priestly titles ('zilc', 'netsvis') typical of elite funerary elogia. This matches Step 1 of the decision tree.",,
Fa 3.1,mi aliqu : auvilesi,mi aliqu auvilesi,I (am) presented by Avile.,ownership,medium,dedicatory,medium,"The text 'mi aliqu auvilesi' translates as 'I am presented/given by Avile', where 'aliqu' functions as a verb of giving/presenting and 'auvilesi' is the agent in a case marking the donor. Per decision-tree step 2, the presence of a gift/presentation verb with a named agent moves past ownership; step 3 finds no explicit sanctuary or vow context, and step 4 confirms a gift act with a personal name, yielding dedicatory.",dedicatory,medium,"The translation explicitly renders 'aliqu' as a verb of giving ('presented'). Following tie-breaking rule 3, the presence of a verb of giving alongside a 'mi' formula prioritizes the dedicatory class over ownership. The text functions as a record of a gift, satisfying the criteria for branch 4 and aligning with the codebook's positive examples for dedicatory inscriptions.",dedicatory,medium,"The inscription contains the pronoun 'mi' (I) combined with 'aliqu' (a form of the verb 'al-', meaning 'to give' or 'present') and the personal name 'auvilesi' (Avile). Based on the translation 'I (am) presented by Avile', the text contains a verb of giving/presenting, which directs it to the dedicatory class under step 2 and step 4 of the decision tree.",,
Ta 3.6,cn • turce • murila • hercnas :  | θuflθas • cver :,cn • turce • murila • hercnas θuflθas • cver,"Murila, (slave) of Hercnas, dedicated this (statue) to Thufltha as a votive offering (?).",votive,high,votive,medium,"The text contains the giving verb 'turce' (gave) with recipient deity Thufltha, satisfying step 2 of the decision tree. The term 'cver' (votive offering) plus dedication to a deity indicates a sanctuary/ex-voto context, so step 3 resolves to votive, which is more specific than plain dedicatory.",votive,medium,"The text features the verb of giving 'turce' and a deity recipient 'θuflθas' (Thufltha), triggering Step 2. It satisfies Step 3 for the 'votive' class because 'cver' is explicitly identified in the translation as an ex-voto formula ('votive offering'), analogous to 'flerś', distinguishing it from a broader dedication.",dedicatory,high,"The inscription contains the verb of giving 'turce' (gave/dedicated) and a clear recipient deity 'θuflθas' (to Thufltha) along with 'cver' (gift). This fits the dedicatory profile under Step 4 of the decision tree, as it represents a gift to a deity.",,
Fs 8.3,tular • σpur al • hil • pura pum • vipśl vχ • papr,tular • σpur al • hil • pura pum • vipśl vχ • papr,Boundary stone (?) of the community. Hil (and) purapum of Vipsha. Velkhe Paprsina.,boundary,high,boundary,high,"Decision tree branch 6: the text opens with 'tular σpural' ('public/community boundary'), the diagnostic boundary-vocabulary of a cippus delimiting land. No verb of giving (branch 2) or contractual structure (branch 7) is present, so this is a boundary marker rather than legal.",boundary,high,"The inscription explicitly contains the phrase 'tular σpur al' (tular spural, 'boundary of the community'), which directly matches the codebook's positive example for boundary markers. Following Step 6 of the decision tree, the presence of this diagnostic boundary vocabulary firmly assigns it to the boundary class rather than requiring further traversal.",boundary,high,"The text contains the classic 'tular spural' formula ('public boundary' / 'boundary of the community'), which matches Step 6 of the decision tree. It is written on a stone boundary marker (cippus), confirming its function.",,
9276,alpnas turce aiseras thuflthicla(s) trutvecie(s),alpnas turce aiseras θuflθicla(s) trutvecie(s),,dedicatory,high,dedicatory,medium,"The text contains the verb of giving 'turce' (gave), satisfying decision-tree step 2, and names a recipient in the divine/goddess sphere 'aiseras' (relating to a deity/divine being). There is no explicit sanctuary findspot or vow language (step 3 fails), so it resolves to dedicatory under step 4 as a gift to a deity.",dedicatory,high,"The text contains the explicit verb of giving 'turce' (from the root tur-), routing the decision through step 2 of the decision tree. The presence of 'aiseras' and 'θuflθicla' identifies the recipients as deities (specifically referencing the gods and the deity Thufltha), satisfying step 4 to classify the act as a gift to a deity.",dedicatory,high,"The inscription contains the past-tense verb of giving 'turce' (from 'tur-') and identifies the donor 'alpnas'. The recipient is the deity Thufltha, designated by 'aiseras θuflθicla(s)', matching the dedicatory class criteria under step 4 of the decision tree.",,
Cl 1.2513,aθ : tiφile : palpe : pulias,aθ tiφile palpe pulias,"Arnth Tiphile Palpe, (son) of Pulia",funerary,high,funerary,medium,"The text is a personal name string (praenomen Arnth + gentilicium + cognomen) followed by a patronymic genitive 'pulias' ('(son) of Pulia'), which is a kinship/filiation formula typical of funerary contexts (rule 1). The Cl. (Clusium) source and the onomastic-plus-parentage structure are diagnostic of urn/tomb inscriptions, though no explicit death formula (avils, lupu) is present.",funerary,high,"The inscription consists of a personal name (Arnth Tiphile Palpe) followed by a parentage/kinship formula in the genitive ('pulias', indicating 'son of Pulia'). According to step 1 of the decision tree, texts containing a personal name and a kinship formula are classified as funerary, as this is the standard onomastic format for cinerary urns and tomb markers.",funerary,high,"The inscription contains a full personal name (Arnth Tiphile Palpe) followed by a metronymic kinship formula (pulias, 'son of Pulia'). As an urn/tomb inscription from Chiusi (Cl), it satisfies Rule 1 of the decision tree for funerary texts.",,
